file,row,input,error,description
01-ig-seeds-items.json,160,https://www.instagram.com/p/DbJW8B9AHqf/,not_found,Post does not exist
01-ig-seeds-items.json,162,https://www.instagram.com/p/DbAfK_wgaqj/,not_found,Post does not exist
05-ig-seed-transcripts-items.json,162,https://www.instagram.com/p/DbJW8B9AHqf/,not_found,Post does not exist
05-ig-seed-transcripts-items.json,163,https://www.instagram.com/p/DbAfK_wgaqj/,not_found,Post does not exist
07-ig-keyword-discovery-items.json,0,https://www.instagram.com/popular/bag-outfit-upgrade,no_items,Empty or private data for provided input
07-ig-keyword-discovery-items.json,1,https://www.instagram.com/popular/work-bag-outfits,no_items,Empty or private data for provided input
07-ig-keyword-discovery-items.json,2,https://www.instagram.com/popular/european-style-handbags,no_items,Empty or private data for provided input
07-ig-keyword-discovery-items.json,3,https://www.instagram.com/popular/designer-bags-overpriced,no_items,Empty or private data for provided input
07-ig-keyword-discovery-items.json,4,https://www.instagram.com/popular/handbag-scam,no_items,Empty or private data for provided input
07-ig-keyword-discovery-items.json,5,https://www.instagram.com/popular/new-handbag-brand,no_items,Empty or private data for provided input
