date,account,description,merchant,amount,direction,currency,txn_id,hint
2026-07-06,BUSINESS CHECKING ...0189 (0189),SHOPIFY          TRANSFER   260703 SHOPIFY         BTO EC VENTURES                                 ,Shopify,896.40,in,USD,TRN-5e5bd323-268e-4651-856d-35f638e7fbd7,Wells Fargo
2026-07-06,BUSINESS CHECKING ...0189 (0189),APPLECARD GSBANK PAYMENT    070326       XXXXX0262 Brooks Orradre                                  ,Apple Credit Card,2055.70,out,USD,TRN-2bd94c70-7359-41e9-81f6-71685e205d30,Wells Fargo
2026-07-06,BUSINESS CHECKING ...0189 (0189),Shopify          Shopify           ST-Y3Y8S6A5W8Z9 BTO EC VENTURES                                 ,Shopify,9518.50,in,USD,TRN-98a12df1-ed5d-4dca-8601-16a61e07bc32,Wells Fargo
2026-07-06,BUSINESS CHECKING ...0189 (0189),SHOPIFY          TRANSFER   260705 SHOPIFY         BTO EC VENTURES                                 ,Shopify,716.17,in,USD,TRN-653f0703-f94b-4243-a55a-154954b5905d,Wells Fargo
2026-07-06,BUSINESS CHECKING ...0189 (0189),SHOPIFY          TRANSFER   260705 SHOPIFY         BTO EC VENTURES                                 ,Shopify,761.72,in,USD,TRN-d902c451-384f-4f1c-8a22-4678eab3114b,Wells Fargo
2026-07-06,Business Gold Card (1000),PXY FACEBK *BPQ6MMENLO PARK,Facebook ads,2000.00,out,USD,TRN-678d011f-f388-4535-a5f0-f5a999e44aa0,American Express
2026-07-06,Business Gold Card (1000),PXY FACEBK *CV75L650-543-7818 CA,Facebook,100.00,out,USD,TRN-2ba8c9f6-7394-420a-b35c-44e56344f509,American Express
2026-07-06,Business Gold Card (1000),PXY FACEBK *VX3C7MENLO PARK,Facebook ads,100.00,out,USD,TRN-6e3f9a01-dd79-41de-a015-dcb544e4abd7,American Express
2026-07-06,Business Gold Card (1000),PXY FACEBK *W4H49MENLO PARK,Facebook ads,106.82,out,USD,TRN-75e037b0-6ecb-41bc-b622-e8072f5a878d,American Express
2026-07-06,Business Platinum Card® (3009),AplPay BLK DOT COFFENewport Coast CA,Aplpay Dot Coffenewport,4.50,out,USD,TRN-08dedd3c-f7ea-4745-85ed-db44b6af51c4,American Express
